,Номер,Название,Жанры,Описание,Рейтинг,Изображение
27,27,А вот и она! / There She Is!!,Комедия Романтика,"История разворачивается вокруг крольчихи Докхи, встретившей и полюбившей кота Наби. Общество в этом мире не приемлет отношений между разными видами, и Наби решительно отвергает Докхи. Но любовь всегда найдёт свою дорогу, и видя, как сильны чувства девушки и что она настроена решительно, Наби в конце концов сдаётся и, несмотря на всеобщее осуждение, даёт Докхи шанс, найдя и в ней что-то привлекательное для себя.",7.89,https://nyaa.shikimori.one/system/animes/preview/6505.jpg?1635215231
28,28,Путешествие Тэцуко / Tetsuko no Tabi,Сэйнэн Комедия Повседневность,"Адаптация основанной на реальных событиях комедийной манги за авторством Наоэ Кикути и Хирохико Ёкоми, описывающей их путешествия по железным дорогам Японии.

Начинающей мангаке Наоэ Кикути от издательства поступило предложение по работе: нарисовать мангу о путешествиях! С единственным условием: художник и автор должны лично поучаствовать в описываемых путешествиях. Не долго думая соглашается на долгожданную работу, даже не подозревая о том, что манга должна будет повествовать о скучных путешествиях по железным дорогам...
Так и началась история о необычных путешествиях молодой мангаки и главного железнодорожного отаку всей Японии — !",6.27,https://moe.shikimori.one/system/animes/preview/2552.jpg?1635204334
29,29,Домоправительница Эбитю / Oruchuban Ebichu,Сэйнэн Комедия Этти,"Хомячиха Эбитю кажется идеальным домашним питомцем: она и убирается, и готовит, и стирает, и за домом следит — в общем делает всё, чтобы угодить своей Хозяйке. К сожалению, она и её неверный парень Кайсёнати никогда не оценивают заслуги Эбитю по достоинству, частенько жестоко наказывая её за любой проступок. Но Эбитю не держит на свою хозяйку зла, ведь её главная цель — сделать отчаявшуюся в личной жизни офис-леди хотя бы немного счастливее.",7.37,https://nyaa.shikimori.one/system/animes/preview/1060.jpg?1664826079
30,30,С первого удара — заряжай-ка! Спецвыпуски / Fight Ippatsu! Juuden-chan!! Specials,Комедия Этти,,6.55,https://dere.shikimori.one/system/animes/preview/7744.jpg?1635216994
31,31,Ристоранте Парадизо / Ristorante Paradiso,Дзёсей Драма Гурман Романтика Повседневность,"Когда Николетта была совсем маленькой, её мать, Ольга, бросила дочь и сбежала в Рим на поиски счастья.
Спустя пятнадцать лет юная Николетта отправляется за своей матерью, желая разрушить её жизнь. Чудом выследив Ольгу в огромном Риме, она преследует её до дверей ресторана «Казетта делль'Орсо». Но Николетта не догадывается, что стоит ей сделать шаг через его порог, как её жизнь изменится раз и навсегда.
Весь персонал «Казетта делль'Орсо» — взрослые мужчины, лукаво сверкающие глазами из-под стильных оправ. Как и остальные посетительницы, не в силах устоять против их тёплых улыбок и приятных голосов.
Незаметно для себя самой девушка забывает о цели своего путешествия и постепенно погружается в романтичные будни размеренной итальянской жизни.",7.35,https://dere.shikimori.one/system/animes/preview/5984.jpg?1633874975
32,32,"Мальчик Асибэ: Вперёд, вперёд, Гома! 4 / Shounen Ashibe: Go! Go! Goma-chan 4",Сэйнэн Комедия Повседневность,,5.88,https://moe.shikimori.one/system/animes/preview/39457.jpg?1644834750
33,33,По велению адской сестры: Спецвыпуски / Shinmai Maou no Testament Specials,Комедия Фэнтези Этти Демоны,,6.75,https://dere.shikimori.one/system/animes/preview/30464.jpg?1635244286
34,34,Грязная парочка: От милых ангелов с любовью / Dirty Pair: Lovely Angels yori Ai wo Komete,Экшен Приключения Комедия Фантастика Полиция,,7.05,https://desu.shikimori.one/system/animes/preview/1803.jpg?1664828301
35,35,Руководство сотен демонов / Bai Yao Pu,Приключения Фэнтези Детектив Сверхъестественное Исторический,"Эта история поведает нам о необычной целительнице Таояо, путешествующей в компании маленького монаха и лисёнка. Необычность девушки заключается в целебном даре, который она применяет лишь к демонам и духам. Маленькая компания странствует из одного уголка страны в другой, попутно встречая на своём пути самых разных представителей мистических существ — двухцветного лиса, птицу, извергающую золото, человека-волка, маленького духа, рождающегося в воде, и прочих существ. Судьба и история каждого демона не могут оставить равнодушным, и целительница Тао помогает им избавиться от горечи и страданий, исцеляя не только физические раны, но и душевные.",7.12,https://dere.shikimori.one/system/animes/preview/41224.jpg?1644221394
36,36,Загадки Токинэ / Nazotokine,Игры,"Токинэ Амино работает секретарем для рекламного агентства «Ten2». Однажды, во время уборки конференц-зала, ее ослепляет свет, и она обнаруживает себя в неком пространстве, покинуть которое Токинэ не может, пока не решит загадки. Загадки предлагает существо по имени Хаччин, прибывший из измерения Квизн. Он поглощает интеллектуальное удовольствие, которое возникает, когда кто-то решает головоломки или раскрывает тайны. И у Хаччина есть виды на сообразительность Токинэ.",4.84,https://nyaa.shikimori.one/system/animes/preview/33690.jpg?1635253866
37,37,Манящие горы: Каков стимул восхождения? / Yama no Susume: Kabe tte Kowakunai no?,Комедия Повседневность,"13 эпизод аниме «Манящие горы», изданный только на BD/DVD-версиях.",6.73,https://kawai.shikimori.one/system/animes/preview/17341.jpg?1635229913
38,38,Из одной комнаты / One Room,Повседневность,"Три истории, три девушки, три времени и одно место действия — обычная комната в жилом доме.",5.56,https://moe.shikimori.one/system/animes/preview/34392.jpg?1635255737
